Landlord,Landlord group,Quarter,Year,Estimated project costs (000s),Actual project cost (000s)
Housing Leeds,Yorkshire LL,3,2013,221,235
Housing Leeds,Yorkshire LL,2,2014,206,
Manchester housing,Northwest housing associates,3,2012,134,130
Liverpool properties,Northwest housing associates,2,2012,539,592
Liverpool properties,Northwest housing associates,3,2014,567,
Manchester housing,Northwest housing associates,2,2013,157,157
Liverpool properties,Northwest housing associates,2,2014,527,
Housing Leeds,Yorkshire LL,3,2012,238,240
Liverpool properties,Northwest housing associates,4,2012,585,460
Manchester housing,Northwest housing associates,1,2012,125,136
Manchester housing,Northwest housing associates,3,2014,150,
Liverpool properties,Northwest housing associates,3,2012,569,585
Housing Leeds,Yorkshire LL,1,2013,195,214
Manchester housing,Northwest housing associates,2,2012,132,140
Manchester housing,Northwest housing associates,2,2014,152,
Liverpool properties,Northwest housing associates,2,2013,555,577
Housing Leeds,Yorkshire LL,3,2014,215,
Manchester housing,Northwest housing associates,4,2014,114,
Manchester housing,Northwest housing associates,1,2014,140,
Manchester housing,Northwest housing associates,3,2013,160,157
Liverpool properties,Northwest housing associates,3,2013,528,537
Liverpool properties,Northwest housing associates,1,2014,596,
Housing Leeds,Yorkshire LL,2,2012,226,231
Manchester housing,Northwest housing associates,4,2013,111,
Manchester housing,Northwest housing associates,1,2013,135,136
Housing Leeds,Yorkshire LL,1,2014,231,
Liverpool properties,Northwest housing associates,4,2013,536,
Manchester housing,Northwest housing associates,4,2012,105,96
Liverpool properties,Northwest housing associates,1,2013,527,560
Housing Leeds,Yorkshire LL,4,2013,226,
Housing Leeds,Yorkshire LL,2,2013,198,214
Housing Leeds,Yorkshire LL,4,2014,235,
Liverpool properties,Northwest housing associates,1,2012,494,536
Housing Leeds,Yorkshire LL,4,2012,181,197
Liverpool properties,Northwest housing associates,4,2014,568,
Housing Leeds,Yorkshire LL,1,2012,201,209
